Timestamp,Symbol,Timeframe,Signal,Price,Reason
2026-01-10 16:56:24,XRP/USDT,1h,BUY,2.0652467804024237,Strong Bullish Confluence
2026-01-13 22:55:32,XRP/USDT,1h,BUY,2.051614046248597,Strong Bullish Confluence
2026-01-13 22:57:24,XRP/USDT,1h,SELL,1.991282005813004,Strong Bearish Confluence
2026-01-13 22:58:25,XRP/USDT,1h,SELL,2.0976,Strong Bearish Confluence
2026-01-13 23:05:01,XRP/USDT,1h,SELL,0.0,Strong Bearish Confluence
2026-01-13 23:05:45,XRP/USDT,1h,SELL,0.0,Strong Bearish Confluence
2026-01-13 23:07:33,XRP/USDT,1h,SELL,2.1079,Strong Bearish Confluence
2026-01-13 23:10:48,BTC_USDT,1h,BUY,91033.77324281141,Strong Bullish Confluence
2026-01-13 23:17:02,XRP/USDT,1h,SELL,2.0914,Strong Bearish Confluence
2026-01-13 23:26:13,XRP/USDT,1h,SELL,2.0944,Strong Bearish Confluence
2026-01-13 23:27:22,XRP/USDT,1h,SELL,2.09,Strong Bearish Confluence
2026-01-13 23:30:31,BTC/USDT,1h,BUY,93138.47,Strong Bullish Confluence
2026-01-13 23:35:53,XRP/USDT,1h,SELL,2.1039,Strong Bearish Confluence
2026-01-14 00:41:37,BTC/USDT,1h,BUY,93166.49,Strong Bullish Confluence
2026-01-14 00:42:39,BTC/USDT,1h,BUY,93310.0,Strong Bullish Confluence
2026-01-14 00:43:42,BTC/USDT,1h,BUY,93423.73,Strong Bullish Confluence
2026-01-14 00:45:34,BTC/USDT,1h,BUY,93443.15,Strong Bullish Confluence
2026-01-14 00:47:14,BTC/USDT,1h,BUY,93376.0,Strong Bullish Confluence
2026-01-14 00:57:04,BTC/USDT,1h,BUY,93282.17,Strong Bullish Confluence
2026-01-14 00:58:05,BTC/USDT,1h,BUY,93300.0,Strong Bullish Confluence
2026-01-14 00:59:08,BTC/USDT,1h,BUY,93266.0,Strong Bullish Confluence
2026-01-14 01:00:10,BTC/USDT,1h,BUY,93206.54,Strong Bullish Confluence
2026-01-14 01:01:12,BTC/USDT,1h,BUY,93238.05,Strong Bullish Confluence
2026-01-14 01:02:14,BTC/USDT,1h,BUY,93234.8,Strong Bullish Confluence
2026-01-14 01:04:37,BTC/USDT,1h,BUY,93440.55,Strong Bullish Confluence
2026-01-14 01:05:40,BTC/USDT,1h,BUY,93420.92,Strong Bullish Confluence
2026-01-14 01:06:42,BTC/USDT,1h,BUY,93440.02,Strong Bullish Confluence
2026-01-14 01:07:44,BTC/USDT,1h,BUY,93473.22,Strong Bullish Confluence
2026-01-14 01:08:45,BTC/USDT,1h,BUY,93373.18,Strong Bullish Confluence
2026-01-14 01:12:51,BTC/USDT,1h,BUY,93493.02,Strong Bullish Confluence
2026-01-14 01:13:52,BTC/USDT,1h,BUY,93589.52,Strong Bullish Confluence
2026-01-14 01:14:54,BTC/USDT,1h,BUY,93568.61,Strong Bullish Confluence
2026-01-14 01:22:15,BTC/USDT,1h,BUY,93711.78,Strong Bullish Confluence
2026-01-14 01:23:17,BTC/USDT,1h,BUY,93704.99,Strong Bullish Confluence
2026-01-14 01:24:18,BTC/USDT,1h,BUY,93667.54,Strong Bullish Confluence
2026-01-14 01:25:20,BTC/USDT,1h,BUY,93555.86,Strong Bullish Confluence
2026-01-14 01:26:22,BTC/USDT,1h,BUY,93587.48,Strong Bullish Confluence
2026-01-14 01:27:24,BTC/USDT,1h,BUY,93635.92,Strong Bullish Confluence
2026-01-14 01:28:26,BTC/USDT,1h,BUY,93554.45,Strong Bullish Confluence
2026-01-14 01:29:28,BTC/USDT,1h,BUY,93552.29,Strong Bullish Confluence
2026-01-14 01:30:29,BTC/USDT,1h,BUY,93558.59,Strong Bullish Confluence
2026-01-14 01:31:31,BTC/USDT,1h,BUY,93581.59,Strong Bullish Confluence
2026-01-14 01:32:33,BTC/USDT,1h,BUY,93624.74,Strong Bullish Confluence
2026-01-14 01:33:34,BTC/USDT,1h,BUY,93634.61,Strong Bullish Confluence
2026-01-14 01:34:36,BTC/USDT,1h,BUY,93633.3,Strong Bullish Confluence
2026-01-14 01:35:38,BTC/USDT,1h,BUY,93671.35,Strong Bullish Confluence
2026-01-14 01:36:39,BTC/USDT,1h,BUY,93729.58,Strong Bullish Confluence
2026-01-14 01:37:41,BTC/USDT,1h,BUY,93706.55,Strong Bullish Confluence
